"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","extinction_hour","firstInterv_date","firstInterv_hour","alert_source","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause"
37,"Entre Douro e Minho","Porto","Baião","Gove","41º8'59''","7º55'0''","firepit",2014-03-10 00:00:00,11:10:00,2014-03-10 00:00:00,13:35:00,2014-03-10 00:00:00,11:25:00,NA,0,0.54,0,0.54,0.54,0
38,"Beira Litoral","Coimbra","Góis","Góis","40º8'39''","8º8'20''","agriculture",2014-03-10 00:00:00,11:48:00,2014-03-10 00:00:00,12:38:00,2014-03-10 00:00:00,12:05:00,NA,0,0,5e-04,0,5e-04,0
39,"Entre Douro e Minho","Braga","Vila Nova de Famalicão","Vilarinho das Cambas","41:23:32","08:34:35","firepit",2014-03-10 00:00:00,12:55:00,2014-03-10 00:00:00,15:30:00,2014-03-10 00:00:00,13:10:00,NA,0,0.5,0,0.5,0.5,0
40,"Entre Douro e Minho","Viseu","Cinfães","Santiago de Piães","41º4'57''","8º12'1''","agric_burn",2014-03-10 00:00:00,13:05:00,2014-03-10 00:00:00,14:49:00,2014-03-10 00:00:00,13:23:00,NA,0,0.015,0,0.015,0.015,0
41,"Entre Douro e Minho","Viana do Castelo","Caminha","Riba de Âncora","41º48'28''","8º49'26''","firepit",2014-03-10 00:00:00,13:17:00,2014-03-10 00:00:00,14:05:00,2014-03-10 00:00:00,13:25:00,NA,0,0.01,0,0.01,0.01,0
42,"Entre Douro e Minho","Aveiro","Vale de Cambra","São Pedro de Castelões","40º49'15''","8º24'18''","firepit",2014-03-10 00:00:00,13:55:00,2014-03-10 00:00:00,17:20:00,2014-03-10 00:00:00,14:10:00,NA,0,0.02,0,0.02,0.02,0
43,"Beira Litoral","Coimbra","Arganil","Piódão","40º15'2''","7º50'0''","fire",2014-03-10 00:00:00,14:30:00,2014-03-10 00:00:00,16:07:00,2014-03-10 00:00:00,15:20:00,NA,1.2,1.8,0,3,3,0
44,"Entre Douro e Minho","Aveiro","Vale de Cambra","Junqueira","40º48'6''","8º22'3''","firepit",2014-03-10 00:00:00,14:54:00,2014-03-10 00:00:00,16:55:00,2014-03-10 00:00:00,15:20:00,NA,0,0.3609,0,0.3609,0.3609,0
45,"-","Viseu","Santa Comba Dão","União das freguesias de Treixedo e Nagozela","40º25'57''","8º5'37''","fire",2014-03-10 00:00:00,15:05:00,2014-03-10 00:00:00,21:22:00,2014-03-10 00:00:00,15:10:00,NA,8,1.5,0,9.5,9.5,0
46,"-","Aveiro","Aveiro","Requeixo, Nossa Senhora de Fátima e Nariz","40º34'37''","8º34'12''","firepit",2014-03-10 00:00:00,15:05:00,2014-03-10 00:00:00,17:00:00,2014-03-10 00:00:00,15:17:00,NA,0.0439,0,0,0.0439,0.0439,1
47,"-","Aveiro","Santa Maria da Feira","União das freguesias de Lobão, Gião, Louredo e Guisande","41º2'15''","8º32'4''","fire",2014-03-10 00:00:00,15:32:00,2014-03-10 00:00:00,18:05:00,2014-03-10 00:00:00,15:55:00,NA,0,1.53,0,1.53,1.53,0
48,"-","Braga","Barcelos","União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral","41º28'7''","8º38'20''","firepit",2014-03-10 00:00:00,15:33:00,2014-03-10 00:00:00,17:45:00,2014-03-10 00:00:00,15:49:00,NA,0.03,0,0,0.03,0.03,0
49,"-","Guarda","Trancoso","Tamanhos","40:46:50","07:18:21","firepit",2014-03-10 00:00:00,15:38:00,2014-03-10 00:00:00,17:20:00,2014-03-10 00:00:00,15:55:00,NA,0,0.1,0,0.1,0.1,0
50,"Beira Litoral","Viseu","Castro Daire","Monteiras","40º57'45''","7º53'4''","fire",2014-03-10 00:00:00,15:51:00,2014-03-10 00:00:00,19:19:00,2014-03-10 00:00:00,16:15:00,NA,0,2,0,2,2,1
51,"-","Viana do Castelo","Ponte da Barca","União das freguesias de Touvedo (São Lourenço e Salvador)","41º47'52''","8º21'57''","fire",2014-03-10 00:00:00,15:58:00,2014-03-10 00:00:00,20:06:00,2014-03-10 00:00:00,16:10:00,NA,0,4,0,4,4,0
52,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Labruja","41º50'44''","8º37'7''","firepit",2014-03-10 00:00:00,16:06:00,2014-03-10 00:00:00,17:00:00,2014-03-10 00:00:00,16:15:00,NA,0,0.02,0,0.02,0.02,1
53,"Entre Douro e Minho","Viana do Castelo","Valença","Cerdal","41º58'39''","8º36'12''","fire",2014-03-10 00:00:00,16:17:00,2014-03-10 00:00:00,18:30:00,2014-03-10 00:00:00,16:18:00,NA,0.5,2.5,0,3,3,0
54,"Entre Douro e Minho","Porto","Baião","Valadares","41º8'58''","7º57'43''","firepit",2014-03-10 00:00:00,16:49:00,2014-03-10 00:00:00,18:10:00,2014-03-10 00:00:00,16:58:00,NA,0,0.5,0,0.5,0.5,0
55,"Trás-os-Montes","Bragança","Carrazeda de Ansiães","Pombal","41º15'59''","7º21'20''","firepit",2014-03-10 00:00:00,17:20:00,2014-03-10 00:00:00,18:45:00,2014-03-10 00:00:00,17:35:00,NA,0,0.18,0,0.18,0.18,0
56,"Alentejo","Portalegre","Campo Maior","São João Batista","38º59'11''","7º6'52''","agriculture",2014-03-10 00:00:00,18:30:00,2014-03-10 00:00:00,19:15:00,2014-03-10 00:00:00,18:45:00,NA,0,0,0.2713,0,0.2713,0
57,"-","Leiria","Caldas da Rainha","União das freguesias de Tornada e Salir do Porto","39º18'5''","9º0'58''","agriculture",2014-03-10 00:00:00,18:51:00,2014-03-10 00:00:00,19:16:00,2014-03-10 00:00:00,18:56:00,NA,0,0,0.005,0,0.005,0
58,"-","Guarda","Fornos de Algodres","Sobral Pichorro","40:40:49","07:27:29","agric_burn",2014-03-10 00:00:00,18:53:00,2014-03-10 00:00:00,20:00:00,2014-03-10 00:00:00,19:12:00,NA,0,0.4,0,0.4,0.4,0
59,"Entre Douro e Minho","Aveiro","Arouca","Mansores","40º57'22''","8º24'26''","fire",2014-03-10 00:00:00,19:00:00,2014-03-10 00:00:00,23:10:00,2014-03-10 00:00:00,19:15:00,NA,0,1.46,0,1.46,1.46,0
60,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Couto","41º48'20''","8º29'27''","firepit",2014-03-10 00:00:00,20:23:00,2014-03-10 00:00:00,21:40:00,2014-03-10 00:00:00,20:38:00,NA,0,0.06,0,0.06,0.06,0
61,"-","Bragança","Mogadouro","União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei","41º18'35''","6º41'7''","agriculture",2014-03-10 00:00:00,21:12:00,2014-03-10 00:00:00,22:10:00,2014-03-10 00:00:00,21:18:00,NA,0,0,0.005,0,0.005,0
62,"Beira Interior","Guarda","Sabugal","Quadrazais","40º19'28''","6º59'53''","agric_burn",2014-03-10 00:00:00,22:15:00,2014-03-10 00:00:00,23:05:00,2014-03-10 00:00:00,22:26:00,NA,0,0,0.001,0,0.001,0
63,"Entre Douro e Minho","Aveiro","Castelo de Paiva","Real","41º3'20''","8º16'26''","firepit",2014-03-11 00:00:00,09:07:00,2014-03-11 00:00:00,12:20:00,2014-03-11 00:00:00,09:20:00,NA,0.006,0.4375,0,0.4435,0.4435,0
64,"Beira Interior","Guarda","Sabugal","Foios","40:17:22","06:53:40","agric_burn",2014-03-11 00:00:00,09:29:00,2014-03-11 00:00:00,10:37:00,2014-03-11 00:00:00,09:45:00,NA,0,0,0.01,0,0.01,0
65,"Trás-os-Montes","Vila Real","Montalegre","Chã","41º46'59''","7º48'25''","firepit",2014-03-11 00:00:00,10:24:00,2014-03-11 00:00:00,11:45:00,2014-03-11 00:00:00,10:35:00,NA,0,0.01,0,0.01,0.01,0
66,"-","Bragança","Macedo de Cavaleiros","União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco","41º37'43''","6º56'17''","firepit",2014-03-11 00:00:00,11:27:00,2014-03-11 00:00:00,14:04:00,2014-03-11 00:00:00,11:40:00,NA,0,0.172,0,0.172,0.172,0
67,"-","Viseu","Tondela","União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas","40º34'56''","8º3'37''","firepit",2014-03-11 00:00:00,12:24:00,2014-03-11 00:00:00,13:55:00,2014-03-11 00:00:00,12:51:00,NA,0,0.1,0,0.1,0.1,0
68,"Trás-os-Montes","Vila Real","Montalegre","Ferral","41º41'51''","7º58'29''","firepit",2014-03-11 00:00:00,12:45:00,2014-03-11 00:00:00,15:02:00,2014-03-11 00:00:00,13:00:00,NA,0,0.3,0,0.3,0.3,0
69,"Beira Litoral","Leiria","Pombal","Almagreira","39º57'20''","8º39'5''","fire",2014-03-11 00:00:00,13:38:00,2014-03-11 00:00:00,17:00:00,2014-03-11 00:00:00,14:00:00,NA,1,0.8,0,1.8,1.8,0
70,"Entre Douro e Minho","Braga","Vieira do Minho","Cantelães","41:37:57","08:07:34","firepit",2014-03-11 00:00:00,13:41:00,2014-03-11 00:00:00,15:55:00,2014-03-11 00:00:00,13:55:00,NA,0.1,0.4,0,0.5,0.5,0
71,"-","Viseu","Tabuaço","União das freguesias de Távora e Pereiro","41º5'38''","7º31'32''","firepit",2014-03-11 00:00:00,13:49:00,2014-03-11 00:00:00,15:30:00,2014-03-11 00:00:00,14:00:00,NA,0,0.15,0,0.15,0.15,0
72,"-","Coimbra","Góis","União das freguesias de Cadafaz e Colmeal","40º8'29''","8º4'18''","agriculture",2014-03-11 00:00:00,13:52:00,2014-03-11 00:00:00,16:40:00,2014-03-11 00:00:00,14:05:00,NA,0,0,0.5,0,0.5,0
73,"Beira Litoral","Leiria","Pedrógão Grande","Pedrógão Grande","39º58'22''","8º7'29''","firepit",2014-03-11 00:00:00,13:53:00,2014-03-11 00:00:00,17:00:00,2014-03-11 00:00:00,14:06:00,NA,0.06,0.074,0,0.134,0.134,0
74,"Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Alvarães","41º38'22''","8º44'49''","firepit",2014-03-11 00:00:00,13:55:00,2014-03-11 00:00:00,15:20:00,2014-03-11 00:00:00,14:13:00,NA,0.12,0,0,0.12,0.12,0
75,"Beira Litoral","Viseu","Mortágua","Espinho","40º24'23''","8º18'25''","fire",2014-03-11 00:00:00,13:56:00,2014-03-11 00:00:00,14:52:00,2014-03-11 00:00:00,14:15:00,NA,1.1,0,0,1.1,1.1,0
76,"-","Braga","Vila Nova de Famalicão","União das freguesias de Vale (São Cosme), Telhado e Portela","41º24'40''","8º30'18''","fire",2014-03-11 00:00:00,14:00:00,2014-03-11 00:00:00,17:30:00,2014-03-11 00:00:00,14:24:00,NA,4.38,0,0,4.38,4.38,0
77,"Beira Interior","Guarda","Guarda","Vale de Estrela","40:29:41","07:17:57","agric_burn",2014-03-11 00:00:00,14:02:00,2014-03-11 00:00:00,15:20:00,2014-03-11 00:00:00,14:20:00,NA,0,0.005,0,0.005,0.005,0
78,"-","Bragança","Macedo de Cavaleiros","União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco","41º40'48''","6º58'55''","fire",2014-03-11 00:00:00,14:03:00,2014-03-11 00:00:00,17:00:00,2014-03-11 00:00:00,14:36:00,NA,0,2.5,0,2.5,2.5,0
79,"-","Bragança","Alfândega da Fé","União das freguesias de Gebelim e Soeima","41º26'16''","6º58'14''","fire",2014-03-11 00:00:00,14:12:00,2014-03-11 00:00:00,17:10:00,2014-03-11 00:00:00,14:30:00,NA,0,3.02,0,3.02,3.02,0
80,"Entre Douro e Minho","Viana do Castelo","Monção","Podame","41º59'25''","8º29'19''","firepit",2014-03-11 00:00:00,14:25:00,2014-03-11 00:00:00,16:15:00,2014-03-11 00:00:00,15:13:00,NA,0.02,0.18,0,0.2,0.2,0
81,"Trás-os-Montes","Vila Real","Vila Pouca de Aguiar","Vreia de Jales","41:27:47","07:35:14","fire",2014-03-11 00:00:00,14:41:00,2014-03-11 00:00:00,16:00:00,NA,NA,NA,0,4,0,4,4,0
82,"Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Outeiro","41º44'49''","8º47'52''","firepit",2014-03-11 00:00:00,14:47:00,2014-03-11 00:00:00,15:37:00,2014-03-11 00:00:00,14:57:00,NA,0.02,0,0,0.02,0.02,0
83,"-","Viana do Castelo","Arcos de Valdevez","União das freguesias de Grade e Carralcova","41º57'28''","8º15'7''","firepit",2014-03-11 00:00:00,14:56:00,2014-03-11 00:00:00,16:45:00,2014-03-11 00:00:00,15:56:00,NA,0,0.03,0,0.03,0.03,0
84,"Entre Douro e Minho","Aveiro","Vale de Cambra","Arões","40º49'22''","8º17'20''","firepit",2014-03-11 00:00:00,15:30:00,2014-03-11 00:00:00,19:45:00,2014-03-11 00:00:00,15:40:00,NA,0,0.86,0,0.86,0.86,0
85,"-","Porto","Marco de Canaveses","Penhalonga e Paços de Gaiolo","41º5'31''","8º9'36''","firepit",2014-03-11 00:00:00,16:00:00,2014-03-11 00:00:00,17:46:00,2014-03-11 00:00:00,16:18:00,NA,0.05,0,0,0.05,0.05,0
86,"-","Porto","Felgueiras","União das freguesias de Unhão e Lordelo","41º20'38''","8º14'4''","agriculture",2014-03-11 00:00:00,16:40:00,2014-03-11 00:00:00,17:58:00,2014-03-11 00:00:00,16:53:00,NA,0,0,0.032,0,0.032,0
87,"-","Viana do Castelo","Monção","União das freguesias de Troporiz e Lapela","42º3'8''","8º32'13''","fire",2014-03-11 00:00:00,16:44:00,2014-03-11 00:00:00,18:20:00,2014-03-11 00:00:00,16:55:00,NA,1,0.1,0,1.1,1.1,0
88,"-","Aveiro","Anadia","Tamengos","40:25:08","08:27:08","agriculture",2014-03-11 00:00:00,17:05:00,2014-03-11 00:00:00,18:58:00,2014-03-11 00:00:00,17:12:00,NA,0,0,0.11,0,0.11,0
89,"-","Viana do Castelo","Ponte de Lima","Fornelos e Queijada","41º48'14''","8º32'59''","firepit",2014-03-11 00:00:00,17:05:00,2014-03-11 00:00:00,18:45:00,2014-03-11 00:00:00,17:20:00,NA,0.5,0,0,0.5,0.5,1
90,"Entre Douro e Minho","Viana do Castelo","Caminha","Riba de Âncora","41º48'56''","8º48'55''","agriculture",2014-03-11 00:00:00,20:53:00,2014-03-11 00:00:00,21:30:00,2014-03-11 00:00:00,20:55:00,NA,0,0,0.01,0,0.01,0
91,"-","Braga","Fafe","Antime","41:25:48","08:09:09","fire",2014-03-11 00:00:00,21:22:00,2014-03-11 00:00:00,23:55:00,2014-03-11 00:00:00,21:35:00,NA,5,3,0,8,8,0
92,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Couto","41º55'40''","8º22'57''","firepit",2014-03-11 00:00:00,22:06:00,2014-03-11 00:00:00,23:30:00,2014-03-11 00:00:00,22:14:00,NA,0,0.1,0,0.1,0.1,1
93,"Ribatejo e Oeste","Santarém","Golegã","Golegã","39º24'13''","8º29'10''","agriculture",2014-03-11 00:00:00,23:43:00,2014-03-12 00:00:00,00:23:00,2014-03-11 00:00:00,23:53:00,NA,0,0,1e-04,0,1e-04,0
94,"-","Aveiro","Aveiro","Requeixo, Nossa Senhora de Fátima e Nariz","40º35'35''","8º31'50''","firepit",2014-03-12 00:00:00,00:07:00,2014-03-12 00:00:00,01:25:00,2014-03-12 00:00:00,00:20:00,NA,0,5e-04,0,5e-04,5e-04,0
95,"Trás-os-Montes","Vila Real","Montalegre","Chã","41º46'49''","7º48'26''","fire",2014-03-12 00:00:00,10:10:00,2014-03-12 00:00:00,17:00:00,2014-03-12 00:00:00,10:15:00,NA,0,18,0,18,18,0
96,"-","Viseu","Carregal do Sal","União das freguesias de Currelos, Papízios e Sobral","40º36'43''","7º34'34''","firepit",2014-03-12 00:00:00,11:27:00,2014-03-12 00:00:00,15:20:00,2014-03-12 00:00:00,11:54:00,NA,0,0.4,0,0.4,0.4,0
97,"Beira Interior","Castelo Branco","Covilhã","Orjais","40º20'24''","7º24'23''","firepit",2014-03-12 00:00:00,11:35:00,2014-03-12 00:00:00,12:25:00,2014-03-12 00:00:00,11:50:00,NA,0,0.015,0,0.015,0.015,0
98,"Trás-os-Montes","Vila Real","Vila Real","Folhadela","41º21'31''","7º43'31''","firepit",2014-03-12 00:00:00,12:45:00,2014-03-12 00:00:00,14:30:00,2014-03-12 00:00:00,12:55:00,NA,0.025,0.01,0,0.035,0.035,0
99,"-","Viseu","Oliveira de Frades","União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães","40º44'58''","8º13'40''","firepit",2014-03-12 00:00:00,12:59:00,2014-03-12 00:00:00,16:53:00,2014-03-12 00:00:00,13:15:00,NA,0.5,0.2,0,0.7,0.7,0
100,"-","Aveiro","Águeda","União das freguesias de Trofa, Segadães e Lamas do Vouga","40º39'14''","8º27'18''","firepit",2014-03-12 00:00:00,13:21:00,2014-03-12 00:00:00,15:00:00,2014-03-12 00:00:00,13:32:00,NA,0.26,0,0,0.26,0.26,0
101,"-","Guarda","Almeida","Porto de Ovelha","40:31:24","06:58:56","agric_burn",2014-03-12 00:00:00,13:52:00,2014-03-12 00:00:00,16:15:00,2014-03-12 00:00:00,14:45:00,NA,0,1,0,1,1,0
102,"-","Viseu","Castro Daire","União das freguesias de Reriz e Gafanhão","40º49'38''","7º55'53''","firepit",2014-03-12 00:00:00,14:25:00,2014-03-12 00:00:00,16:59:00,2014-03-12 00:00:00,14:58:00,NA,0,0.05,0,0.05,0.05,0
103,"Alentejo","Beja","Moura","Póvoa de São Miguel","38:12:42","07:18:15","agriculture",2014-03-12 00:00:00,15:02:00,2014-03-12 00:00:00,16:25:00,2014-03-12 00:00:00,15:35:00,NA,0,0,0.4,0,0.4,0
104,"Beira Litoral","Viseu","Tondela","Canas de Santa Maria","40º33'4''","8º3'29''","firepit",2014-03-12 00:00:00,15:06:00,2014-03-12 00:00:00,16:55:00,2014-03-12 00:00:00,15:18:00,NA,0.2,0.1,0,0.3,0.3,0
105,"Algarve","Faro","Loulé","Salir","37:15:33","07:56:25","fire",2014-03-12 00:00:00,15:11:00,2014-03-12 00:00:00,18:50:00,2014-03-12 00:00:00,15:45:00,NA,0,1.873,0,1.873,1.873,0
